avocado, unit
baby banana, unit
beef, lb
beet, unit
beet greens, hf
blueberries, hf
bread, slice
brussel sprouts, lb
canned clams, can
canned garbanzo, can
canned tomato, can
canned tuna, can
carrot, unit
chia seeds, tbs
chicken, lb
couscous, cup
egg, unit
fish, lb
frozen veggies, hf
fruit, unit
garlic, clove
ginger, tbs
grape tomato, hf
green lentils, cup
green pepper, unit
ground beef, lb
kale, leaves
lemon, unit
mango, unit
milk, ml
mozarella, hf
nuts, oz
oatmeal, hf
parmesan, hf
pasta, oz
pinto beans, cup
pork, lb
protein, gr
pumpkin,unit
red cabbage, hf
red lentils, cup
red onion, unit
rice, cup
spinach, hf
sweet potato, unit
tofu, box